class,float32_precision,float32_recall,int8_precision,int8_recall
crazing,0.8451,1.0000,0.8571,1.0000
inclusion,0.8235,0.9333,0.8235,0.9333
patches,0.9796,0.8000,0.9800,0.8167
pitted_surface,0.9038,0.7833,0.9038,0.7833
rolled-in_scale,1.0000,0.9333,1.0000,0.9333
scratches,0.7656,0.8167,0.7656,0.8167
