model,test_accuracy,worst_class,worst_class_recall,model_size_kB,latency_median_ms,latency_p99_ms,verdict_15ms
float32 (V3),0.8778,pitted_surface,0.7833,1619.5,7.50,8.23,FITS
int8 (V3),0.8806,pitted_surface,0.7833,408.5,5.93,6.73,FITS
