class,float32_precision,float32_recall,int8_precision,int8_recall
crazing,0.9524,1.0000,0.9524,1.0000
inclusion,0.7945,0.9667,0.8028,0.9500
patches,1.0000,0.9667,1.0000,0.9667
pitted_surface,0.9783,0.7500,0.9574,0.7500
rolled-in_scale,0.9836,1.0000,0.9524,1.0000
scratches,0.8983,0.8833,0.9138,0.8833
