model,test_accuracy,worst_class,worst_class_recall,model_size_kB,latency_median_ms,latency_p99_ms,verdict_15ms
float32 (V5),0.9278,pitted_surface,0.7500,959.5,13.53,16.30,TOO SLOW
int8 (V5),0.9250,pitted_surface,0.7500,246.8,6.88,10.95,FITS
