model,test_accuracy,worst_class,worst_class_recall,model_size_kB,latency_median_ms,latency_p99_ms,verdict_15ms
float32,0.8722,scratches,0.6500,460.8,0.37,0.92,FITS
int8,0.8583,scratches,0.6500,124.2,1.42,2.38,FITS
