model,test_accuracy,worst_class,worst_class_recall,model_size_kB,latency_median_ms,latency_p99_ms,verdict_15ms
float32 (V5),0.9278,pitted_surface,0.7500,958.7,13.77,14.40,FITS
int8 (V5),0.9194,pitted_surface,0.7667,246.5,11.26,12.40,FITS
