class,float32_precision,float32_recall,int8_precision,int8_recall
crazing,0.9375,1.0000,0.9091,1.0000
inclusion,0.7273,0.9333,0.5728,0.9833
patches,1.0000,0.9500,1.0000,0.8833
pitted_surface,0.8837,0.6333,0.9333,0.4667
rolled-in_scale,0.9062,0.9667,0.9500,0.9500
scratches,0.9091,0.8333,0.8750,0.7000
