model,test_accuracy,worst_class,worst_class_recall,model_size_kB,latency_median_ms,latency_p99_ms,verdict_15ms
float32 (V4),0.8806,pitted_surface,0.6500,254.9,0.56,0.78,FITS
int8 (V4),0.8750,pitted_surface,0.6333,70.2,0.72,1.36,FITS
