class,float32_precision,float32_recall,int8_precision,int8_recall
crazing,0.9524,1.0000,0.9524,1.0000
inclusion,0.8056,0.9667,0.8056,0.9667
patches,1.0000,0.9667,1.0000,0.9667
pitted_surface,0.9787,0.7667,0.9787,0.7667
rolled-in_scale,0.9677,1.0000,0.9677,1.0000
scratches,0.9138,0.8833,0.9138,0.8833
