model,test_accuracy,worst_class,worst_class_recall,model_size_kB,latency_median_ms,latency_p99_ms,verdict_15ms
float32,0.8250,scratches,0.6333,947.0,0.92,0.99,FITS
int8,0.8139,scratches,0.6167,240.3,1.05,1.14,FITS
