class,float32_precision,float32_recall,int8_precision,int8_recall
crazing,0.9524,1.0000,0.9524,1.0000
inclusion,0.7945,0.9667,0.8088,0.9167
patches,1.0000,0.9667,1.0000,0.9667
pitted_surface,0.9783,0.7500,0.9020,0.7667
rolled-in_scale,0.9836,1.0000,0.9524,1.0000
scratches,0.8983,0.8833,0.9123,0.8667
